Data polled every ~10 seconds starting from ~45 minutes after the poll was created.
Left column is Iris votes, Right column is Kairo votes
- Data logged by MrL314

2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2811,3741
2871,3771
2811,3741
2811,3741
2871,3771
2811,3741
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2871,3771
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2923,3803
2957,3832
2923,3803
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2957,3832
2982,4089
2982,4089
2957,3832
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2957,3832
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
2982,4089
3028,4114
2982,4089
2982,4089
2982,4089
